type,selected,r.squared,statistic,p.value,df,nobs,MSE
ols_pd_wp,3,0.23889139875109894,1.9828798798440015,4.617978370491843e-5,63,462,3737.2222982601247
ols_pd_we,7,0.23633481272317966,1.955092134469519,6.560931478938827e-5,63,462,3762.0896790772063
ols_pd_wd,9,0.6085070041599544,9.819380914921462,2.301794626393609e-50,63,462,145.94341795163217
ols_ed_wp,7,0.22493727618470133,1.8564748849074044,2.186618223436057e-4,63,467,3407.497580616986
ols_ed_we,7,0.211245797971777,1.7132111397489047,0.0011899963055166793,63,467,3443.517524691045
ols_ed_wd,12,0.6687495058404732,12.914316804051598,1.3015071473709439e-64,63,467,108.45407498779082
