type,selected,r.squared,statistic,p.value,df,nobs,MSE
l_pd_wp,34 2,0.13987040550627833,2.042259388568725,6.758917451106464e-4,34,462,4223.438671775246
l_pd_we,35 5,0.16400031583951277,2.3877020144294216,2.8430375085295784e-5,35,462,4118.43545560485
l_pd_wd,47 10,0.5580389681469823,11.122003600403845,7.05354082506004e-49,47,462,164.75723518796534
l_ed_wp,25 2,0.07580202156887925,1.446819503700836,0.07692521573660262,25,467,4063.1580886937677
l_ed_we,1 1,0.01996018035913298,9.470517096333912,0.0022113100671620847,1,467,4278.626072799824
l_ed_wd,46 13,0.6476349604206212,16.781428646032737,1.9345314080207982e-69,46,467,115.36714691575283
