type,selected,r.squared,statistic,p.value,df,nobs,MSE
si_pp,1,0.018731262380399148,9.37261065820413,0.002323226980661266,1,493,2360614.2615227588
si_pe,1,0.02382810803361694,11.98518533548272,5.830849577922972e-4,1,493,2355170.575901777
si_pd,15,0.5131507301589308,33.51795767174722,6.265659210480939e-65,15,493,89060.76291650074
si_ep,5,0.08062431453400028,8.594074162758819,8.104867996422087e-8,5,496,2077954.2327894205
si_ee,5,0.06547951025636481,6.866614563886246,3.304185403617912e-6,5,496,2129794.5567893973
si_ed,14,0.5310620879674308,38.90872449025269,5.3783850079115944e-70,14,496,79890.97043213471
