T: PAQI / WTP: PAQI,coef,pval,T: PAQI / WTP: EPD,coef,pval,T: PAQI / WTP: DIF,coef,pval,T: EPD / WTP: PAQI,coef,pval,T: EPD / WTP: EPD,coef,pval,T: EPD / WTP: DIF,coef,pval
tehsil_n_baseline,-17.089588604259205,0.022516416625194022,asset_index_baseline,10.440838763775709,5.0025372915197e-4,inside_total_hrs_baseline,-0.36136826667337046,0.01559960943028234,s3_q6_a_7_baseline,24.537226208749033,0.0021592535229075804,s3_q6_a_7_baseline,24.304282175848343,0.00448185652461862,forecast_ability_baseline,-5.8218119429188135,7.18619727099543e-5
NA,NA,NA,NA,NA,NA,work_total_hrs_baseline,2.6528835793520495,0,s7_q16_baseline,10.316839480094599,0.03057178400098702,s7_q16_baseline,10.879545662248502,0.024813845947367123,s6f_q4_baseline,0.10904018555722138,0.01843632322611941
NA,NA,NA,NA,NA,NA,s9_q4_field_count_baseline,6.674871457541493,0.03255841686577875,work_total_hrs_baseline,-3.3932304205646178,0.003057078764254871,tehsil_n_baseline,-24.957111030596216,0.001095592467753894,work_total_hrs_baseline,-1.9016563604276178,6.95394298338455e-13
NA,NA,NA,NA,NA,NA,dem_q3_baseline,4.026142298713991,0.005494425674415222,s7_q2_baseline_r,5.338509609146915,0.04164361587126755,s7_q2_baseline_r,5.39073374886582,0.04383914711515442,s9_q4_field_count_baseline,-7.416205052597343,4.4414725111374177e-14
NA,NA,NA,NA,NA,NA,dem_q31_baselinePension - Government,14.698114952292778,0.04491523448969255,dem_q24_baseline,-14.188055784772752,0.006256440946564941,dem_q24_baseline,-11.35475236649714,0.029233436808594332,dem_q31_baselinePension - Government,-16.63340512033108,0.03012347618362524
NA,NA,NA,NA,NA,NA,tehsil_n_baseline,-5.323314081949277,0.0019028025330956105,NA,NA,NA,NA,NA,NA,tehsil_n_baseline,7.572368727938257,5.759973705499447e-6
NA,NA,NA,NA,NA,NA,dem_q30_baseline,1.9627404700981268,0.02832563532116379,NA,NA,NA,NA,NA,NA,dem_q22_baseline,5.3313899925710055,0.002089385894040441
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dem_q30_baseline,-2.835952125167504,1.7127915602362873e-6
